stt,d_mea1,d_kalman1,d_mea2,d_kalman2,d_mea3,d_kalman3,d_mea4,d_kalman4,d_mea5,d_kalman5,d_mea6,d_kalman6,d_mea7,d_kalman7
96,52.9,51.8,98.1,98.4,201.3,196.4,303.2,302.6,511.9,530.7,1031.8,1044.5,1542.2,1539.8
97,52.3,51.8,99.5,98.4,196.5,196.4,302.6,302.6,520.9,530.7,1044.4,1044.5,1545.4,1539.8
98,51.2,51.8,105.7,98.4,195.6,196.4,305.1,302.6,510.5,530.7,1039.1,1044.4,1543.1,1539.8
99,57.6,51.9,104.4,98.5,196.3,196.4,303.6,302.6,516.7,530.6,1042.7,1044.4,1535.6,1539.8
100,51.7,51.9,104.7,98.6,197.9,196.4,301.5,302.6,523.4,530.5,1038.7,1044.4,1536.7,1539.8
101,54.1,51.9,100.7,98.6,197.9,196.4,301.6,302.6,521,530.5,1048.1,1044.4,1541.1,1539.8
102,53.9,51.9,99.6,98.6,193.7,196.4,299.9,302.6,509.3,530.5,1065.1,1044.6,1536.8,1539.8
103,56,52,99.2,98.6,195,196.4,304.8,302.6,510.7,530.5,1067,1044.8,1532.7,1539.7
104,49.6,51.9,103,98.6,197.8,196.4,302.2,302.6,513.3,530.3,1038.7,1044.8,1537.4,1539.7
105,51.4,51.9,102.2,98.7,195.1,196.4,304.5,302.6,512.1,530.2,1033,1044.7,1543.1,1539.7
106,48.8,51.9,101,98.7,195.8,196.4,302.4,302.6,511.2,530.6,1033.1,1044.5,1539.9,1539.7
107,56.5,51.9,99.7,98.7,199.2,196.4,301.2,302.6,512.3,530.5,1031.8,1044.4,1538.2,1539.7
108,59.3,52,100.3,98.7,197.2,196.4,300.7,302.6,519.3,530.4,1038,1044.4,1544,1539.7
109,51.9,52,99.9,98.7,196.9,196.4,302.9,302.6,515.5,530.8,1042.5,1044.4,1542.7,1539.8
110,48.9,52,98.8,98.7,194.6,196.4,307.3,302.6,517,530.7,1035.8,1044.3,1531.5,1539.7
111,51.8,52,100.9,98.7,194.3,196.4,301.6,302.6,512.9,530.6,1036.7,1044.2,1533.7,1539.6
112,50,52,103.2,98.8,195.9,196.4,301.5,302.6,519.1,530.5,1061.3,1044.4,1538.2,1539.6
113,49.9,51.9,102.1,98.8,195.2,196.4,303.8,302.6,509.9,530.3,1037.2,1044.3,1541.1,1539.6
114,51,51.9,98.2,98.8,197.8,196.4,303.4,302.6,511,530.2,1042.4,1044.3,1540.9,1539.6
115,54.5,52,99,98.8,193.8,196.4,300.9,302.6,514.4,530,1035.7,1044.2,1538.3,1539.6
116,51.4,52,104.4,98.9,198.4,196.4,304.8,302.6,511.7,529.9,1042.9,1044.2,1545.8,1539.7
117,54.2,52,101.3,98.9,195.1,196.4,305.4,302.6,516,529.7,1033.1,1044.1,1544.9,1539.7
118,53.4,52,102.6,98.9,195.4,196.4,305.4,302.7,519.8,529.6,1040.9,1044.1,1541.9,1539.7
119,56.7,52,104.5,99,194.7,196.4,304.5,302.7,521.8,529.5,1035.8,1044,1544.4,1539.8
120,51.1,52,98,99,195.3,196.3,303.4,302.7,517.1,529.3,1045.2,1044,1535.1,1539.7
121,53.4,52,96.7,98.9,195.7,196.3,304.3,302.7,516.6,529.2,1068.1,1044.2,1535.2,1539.7
122,55,52.1,102.4,99,198.1,196.4,301.4,302.7,515.6,529,1039.1,1044.2,1534.3,1539.7
123,49.8,52,102.4,99,197.3,196.4,301.2,302.7,512.2,528.9,1047.9,1044.2,1541,1539.7
124,55,52.1,101.5,99,193.9,196.3,302.2,302.7,516.5,528.8,1041,1044.2,1543.6,1539.7
125,52.8,52.1,102,99,197.9,196.4,303.5,302.7,513.3,528.6,1036.9,1044.1,1543.9,1539.7
126,51.6,52.1,100.5,99,198.6,196.4,300.2,302.7,511.1,528.5,1040.3,1044.1,1545.2,1539.8
127,49.6,52,98,99,196.5,196.4,303.4,302.7,516.5,528.4,1040.3,1044.1,1538.6,1539.8
128,53.1,52,102.9,99.1,197.3,196.4,303.5,302.7,517.2,528.3,1045.2,1044.1,1539.6,1539.8
129,52.1,52.1,104.1,99.1,198.2,196.4,303.5,302.7,513,528.1,1043.7,1044.1,1538.3,1539.8
130,49,52,100.5,99.1,197.1,196.4,304,302.7,517.5,528,1042,1044.1,1544.8,1539.8
131,52.1,52,102.5,99.1,196,196.4,303.6,302.7,513.2,527.9,1042.5,1044,1542.4,1539.8
132,51.6,52,100.5,99.1,199.3,196.4,303.9,302.7,512.9,527.8,1076.6,1044.3,1540,1539.8
133,52.2,52,97.7,99.1,196.1,196.4,302.9,302.7,516,527.7,1039.4,1044.2,1542.3,1539.8
134,57.2,52.1,99.3,99.1,194.1,196.4,307,302.7,515,527.6,1068.9,1044.4,1540.2,1539.8
135,51.7,52.1,101.1,99.2,197.1,196.4,305.5,302.7,517.7,527.5,1066.1,1044.6,1539.2,1539.8
136,51.7,52.1,100.1,99.2,198.4,196.4,306.6,302.8,507.6,527.4,1036.2,1044.5,1536.6,1539.8
137,57.4,52.1,102,99.2,195.5,196.4,305,302.8,519.2,527.3,1030.7,1044.4,1538,1539.8
138,50.9,52.1,99.1,99.2,193.5,196.4,303.2,302.8,515.5,527.1,1052.7,1044.5,1540.6,1539.8
139,49.9,52.1,100.9,99.2,198.6,196.4,302.8,302.8,508.9,527,1056.2,1044.6,1539.6,1539.8
140,50.1,52.1,101.8,99.2,197.1,196.4,299.5,302.8,509.6,527,1063.7,1044.7,1542.9,1539.8
141,52,52.1,98.9,99.2,197.7,196.4,301.7,302.8,515.8,526.9,1044.2,1044.7,1538.7,1539.8
142,52.4,52.1,98.6,99.2,194.3,196.4,303.5,302.8,505.4,526.8,1043.3,1044.7,1538.8,1539.8
143,53.3,52.1,95.3,99.2,198.9,196.4,301.8,302.8,512.3,526.7,1034.8,1044.6,1540.4,1539.8
144,47.7,52,102.2,99.2,194.9,196.4,302.7,302.8,516,526.6,1039.4,1044.6,1538.8,1539.8
145,50.8,52,96.1,99.2,197.6,196.4,300.8,302.7,512,526.5,1040,1044.6,1543.8,1539.8
146,47.5,52,98.6,99.2,195.2,196.4,301.9,302.7,511.9,526.4,1047.3,1044.6,1540.7,1539.8
147,50,52,92.4,99.1,197.5,196.4,302.2,302.7,509.9,526.3,1044.7,1044.6,1544,1539.9
148,54.3,52,101.4,99.1,197.6,196.4,301.3,302.7,514.2,526.2,1041.7,1044.6,1546.6,1539.9
149,49.9,52,98.9,99.1,195.6,196.4,304.5,302.7,512.4,526.1,1066.2,1044.7,1541.1,1539.9
150,50.8,52,101,99.2,196.7,196.4,302.1,302.7,508.4,526,1037.5,1044.7,1545.5,1540
151,51.8,52,96.3,99.1,194.8,196.4,301.8,302.7,515.9,525.9,1039.1,1044.6,1542.2,1540
152,50.6,52,98.8,99.1,192.9,196.4,303.2,302.7,516.7,525.8,1039,1044.6,1535.8,1539.9
153,47.3,51.9,91.8,99.1,198.3,196.4,302.5,302.7,514.4,525.8,1037.4,1044.5,1537,1539.9
154,51.6,51.9,98,99.1,197,196.4,302.9,302.7,515,525.7,1043.1,1044.5,1538.6,1539.9
155,52.4,51.9,93.7,99,198.5,196.4,301.9,302.7,509.3,525.7,1041.8,1044.5,1536.8,1539.9
156,51.9,51.9,95.6,99,199.4,196.4,302.6,302.7,515.6,525.6,1035.8,1044.5,1540,1539.9
157,53.4,52,93.1,99,195.9,196.4,300.2,302.7,512.9,525.6,1038.4,1044.4,1538.6,1539.9
158,53.1,52,96.8,99,195.6,196.4,300.8,302.7,505.5,525.5,1036,1044.4,1540.2,1539.9
159,50.9,52,96.1,99,195.7,196.4,302.7,302.7,512.5,525.5,1043.8,1044.4,1544.3,1539.9
160,52.2,52,91.3,98.9,197.7,196.4,304.1,302.7,516,525.4,1041.5,1044.3,1540.3,1539.9
161,53.5,52,95.8,98.9,194.6,196.4,303.2,302.7,516.8,525.3,1036.7,1044.3,1542,1539.9
162,51.6,52,97.6,98.9,197.2,196.4,302.2,302.7,513.6,525.2,1044.4,1044.3,1540.2,1539.9
163,52.8,52,96.9,98.9,196.4,196.4,300.5,302.7,511,525.1,1098.2,1044.6,1541.1,1539.9
164,52,52,99,98.9,197.8,196.4,301.7,302.7,512.3,525,1041.8,1044.6,1544.5,1540
165,55.8,52,94.7,98.8,192.8,196.4,303.7,302.7,511.2,524.9,1036.7,1044.6,1545.5,1540
166,54.5,52,94.8,98.8,198.5,196.4,303.3,302.7,510.8,524.9,1037.4,1044.5,1535,1540
167,55.5,52,95.6,98.8,196.8,196.4,306.2,302.7,513.9,524.8,1039.1,1044.5,1537.9,1540
168,56.9,52.1,95.2,98.8,196.1,196.4,300.5,302.7,513.9,524.7,1042.7,1044.5,1544.4,1540
169,51.4,52,96.9,98.8,198.8,196.4,302.6,302.7,508.6,524.6,1042.2,1044.5,1540.1,1540
170,54.3,52.1,95.1,98.7,196.3,196.4,304.5,302.7,508.8,524.6,1040.9,1044.4,1540.2,1540
171,52.7,52.1,104.6,98.8,197,196.4,303,302.7,509.7,524.5,1041.1,1044.4,1542.4,1540
172,55.9,52.1,99.5,98.8,196.7,196.4,301.9,302.7,520.1,524.4,1029.4,1044.3,1542,1540
173,55.3,52.1,101.6,98.8,198.6,196.5,300.6,302.7,518.3,524.4,1042.7,1044.3,1536.5,1540
174,55.6,52.1,97.6,98.8,196.7,196.5,303.2,302.7,511.6,524.3,1034.5,1044.3,1540.2,1540
175,57.5,52.2,94,98.8,198,196.5,299.4,302.7,517.6,524.3,1046.9,1044.3,1543.7,1540
176,53.1,52.2,96.1,98.8,198.1,196.5,305.6,302.7,519.1,524.2,1031,1044.2,1541.5,1540
177,54.5,52.2,99.4,98.8,199,196.5,305.6,302.7,518.9,524.3,1037.4,1044.2,1539.9,1540
178,54.2,52.2,102.8,98.8,195.7,196.5,302.9,302.7,518.3,524.2,1045.5,1044.2,1543.1,1540
179,57.8,52.2,100.9,98.8,197.9,196.5,303.2,302.7,517.6,524.2,1040.1,1044.2,1538.4,1540
180,59,52.3,99,98.8,198.4,196.5,303.1,302.7,507.4,524.4,1036.6,1044.1,1542,1540
181,54,52.3,94.2,98.8,196.2,196.5,306,302.7,511.1,524.3,1049.1,1044.1,1537.7,1540
182,56.4,52.3,100.4,98.8,200.3,196.5,302.9,302.7,516.7,524.2,1037,1044.1,1544.6,1540.1
183,55,52.3,104.2,98.8,198.5,196.5,303.1,302.7,507,524.1,1038.2,1044.1,1549.1,1540.1
184,55.6,52.3,103.1,98.8,199.2,196.5,302.6,302.7,511.8,524,1040.7,1044,1546.4,1540.1
185,54.5,52.3,105.4,98.9,196.1,196.5,303.6,302.7,509.9,523.9,1039,1044,1543.1,1540.2
186,55.1,52.3,107.9,98.9,197.7,196.6,301.7,302.7,511.4,523.8,1042.4,1044,1552.1,1540.2
187,55.2,52.4,99.4,98.9,196.5,196.6,303.1,302.7,512.3,523.7,1035.8,1044,1542.4,1540.2
188,59,52.4,100.8,98.9,198.1,196.6,302.1,302.7,507.7,523.6,1041.9,1044,1534,1540.2
189,55.3,52.4,100.7,98.9,197.2,196.6,302.5,302.7,515.1,523.5,1043.1,1044,1544.3,1540.2
190,56.5,52.4,98.2,98.9,199.1,196.6,304.5,302.7,513.5,523.4,1036.3,1043.9,1542.3,1540.2
191,57.1,52.5,98.7,98.9,198.7,196.6,306,302.8,516.4,523.4,1042.4,1043.9,1545.3,1540.3
192,51.1,52.4,102.3,98.9,199.3,196.6,304.2,302.8,510.7,523.4,1042,1043.9,1537.4,1540.2
193,55.4,52.5,98.7,98.9,197.7,196.6,302.8,302.8,511.1,523.3,1037.7,1043.9,1542.5,1540.3
194,56.9,52.5,98,98.9,195.8,196.6,302,302.8,518.8,523.2,1036.4,1043.8,1535.1,1540.2
195,56,52.5,97.5,98.9,195.9,196.6,305.2,302.8,516.1,523.2,1041.4,1043.8,1540.9,1540.2
196,57.2,52.5,97,98.9,195.9,196.6,301.9,302.8,505.8,523.1,1041.4,1043.8,1546.4,1540.3
197,58.5,52.6,97.5,98.9,192.9,196.6,301.6,302.8,510.7,523.1,1045.2,1043.8,1557,1540.3
198,56.5,52.6,100,98.9,198.8,196.6,303.3,302.8,513.3,523.1,1032.4,1043.8,1540.5,1540.3
199,52.8,52.6,95.4,98.9,199.6,196.6,306,302.8,512.1,523.1,1039.9,1043.7,1528.8,1540.3
200,55.2,52.6,93.6,98.9,194.8,196.6,299.2,302.8,511.2,523,1043.3,1043.7,1545.7,1540.3
201,52.3,52.6,95.4,98.9,196.8,196.6,304.5,302.8,522.3,522.9,1040.2,1043.7,1547,1540.3
202,55.6,52.6,99,98.9,201.9,196.6,304.9,302.8,519.3,522.9,1042.3,1043.7,1547.5,1540.4
203,57.9,52.6,102.4,98.9,201.2,196.6,303.7,302.8,515.5,522.9,1073.1,1043.9,1538.1,1540.4
204,50.8,52.6,97.4,98.9,199.3,196.7,304.5,302.8,517,522.9,1102.2,1044.1,1547.2,1540.4
205,51.1,52.6,97.2,98.9,198.5,196.7,300.6,302.8,512.9,522.8,1045,1044.1,1543.3,1540.4
206,53.1,52.6,96.3,98.8,199.7,196.7,302.8,302.8,519.1,522.9,1043.3,1044.1,1541.5,1540.4
207,49.3,52.6,98.8,98.8,197.6,196.7,305.1,302.8,509.9,522.9,1042.3,1044.1,1539.4,1540.4
208,55.1,52.6,92.7,98.8,197.9,196.7,299.5,302.8,511,522.8,1036.6,1044.1,1546.4,1540.4
209,54.7,52.6,94.4,98.8,199.1,196.7,301.9,302.8,514.4,522.7,1036.1,1044.1,1541.8,1540.5
210,52.6,52.6,96.1,98.8,199.4,196.7,304.4,302.8,511.7,522.8,1044.9,1044.1,1547.6,1540.5
211,51.8,52.6,93.8,98.8,199,196.7,302.2,302.8,516,522.8,1039,1044,1547.6,1540.5
212,49.2,52.6,98.3,98.8,199.2,196.7,300.4,302.8,519.8,522.7,1035.6,1044,1549.4,1540.6
213,57.1,52.6,95.4,98.7,193.5,196.7,305.7,302.8,521.8,522.7,1039,1044,1539.8,1540.6
214,52.7,52.6,93.4,98.7,198,196.7,302.4,302.8,517.1,522.8,1039.3,1043.9,1538,1540.5
215,51.7,52.6,97.2,98.7,195.7,196.7,302.4,302.8,516.6,522.8,1034.3,1043.9,1539.2,1540.5
216,56.3,52.6,95.9,98.7,200,196.7,302.8,302.8,515.6,522.8,1038.8,1043.9,1543.9,1540.6
217,48,52.6,93.4,98.7,198.2,196.7,299.5,302.8,512.2,522.7,1037.2,1043.8,1538.4,1540.5
218,60.4,52.7,100.6,98.7,200.9,196.8,298.4,302.8,516.5,522.7,1041.4,1043.8,1533.7,1540.5
219,48.6,52.6,98.1,98.7,197.3,196.8,305.3,302.8,513.3,522.7,1072.6,1044,1538.8,1540.5
220,56.3,52.6,96.1,98.7,195.7,196.8,301.4,302.8,511.1,522.7,1043.5,1044,1537.3,1540.5
221,59.3,52.7,96.1,98.7,199,196.8,298.3,302.7,516.5,522.6,1040.1,1043.9,1540,1540.5
222,53.3,52.7,100.9,98.7,194.7,196.8,302.4,302.7,517.2,522.8,1042.5,1043.9,1544.5,1540.5
223,55.9,52.7,96.5,98.7,196.9,196.8,301.9,302.7,513,522.8,1036.1,1043.9,1545.8,1540.5
224,50.9,52.7,95.9,98.6,198.8,196.8,301.4,302.7,517.5,522.8,1035.2,1043.9,1551.8,1540.6
225,50.1,52.7,90.4,98.6,199.2,196.8,303.8,302.7,513.2,522.7,1041.2,1043.9,1545.7,1540.6
226,48.1,52.7,97.4,98.6,193.7,196.8,302.7,302.7,512.9,522.7,1038.8,1043.8,1548.1,1540.6
227,48.6,52.6,99.9,98.6,198.8,196.8,303.9,302.7,516,522.6,1042.1,1043.8,1546.6,1540.7
228,49,52.6,99.4,98.6,197.3,196.8,301.9,302.7,515,522.6,1036,1043.8,1541.8,1540.7
229,53.6,52.6,100.3,98.6,202.4,196.8,301.1,302.7,517.7,522.5,1039.1,1043.8,1539.6,1540.7
230,58.2,52.7,100.4,98.6,203.5,196.8,301.9,302.7,507.6,522.5,1066.7,1043.9,1542.2,1540.7
