d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
57.8,,,100.9,,,197.9,,,303.2,,,510.9,,,1040.1,,,1538.4,,
59,,,99,,,198.4,,,303.1,,,572.6,,,1036.6,,,1542,,
54,,,94.2,,,196.2,,,306,,,504.9,,,1049.1,,,1537.7,,
56.4,,,100.4,,,200.3,,,302.9,,,502.4,,,1037,,,1544.6,,
55,,,104.2,,,198.5,,,303.1,,,501.9,,,1038.2,,,1549.1,,
55.6,,,103.1,,,199.2,,,302.6,,,505.3,,,1040.7,,,1546.4,,
54.5,,,105.4,,,196.1,,,303.6,,,502.9,,,1039,,,1543.1,,
55.1,,,107.9,,,197.7,,,301.7,,,507.4,,,1042.4,,,1552.1,,
55.2,,,99.4,,,196.5,,,303.1,,,505.1,,,1035.8,,,1542.4,,
59,,,100.8,,,198.1,,,302.1,,,507.5,,,1041.9,,,1534,,
55.3,,,100.7,,,197.2,,,302.5,,,507.4,,,1043.1,,,1544.3,,
56.5,,,98.2,,,199.1,,,304.5,,,512.7,,,1036.3,,,1542.3,,
57.1,,,98.7,,,198.7,,,306,,,512.9,,,1042.4,,,1545.3,,
51.1,,,102.3,,,199.3,,,304.2,,,518.1,,,1042,,,1537.4,,
55.4,,,98.7,,,197.7,,,302.8,,,510.9,,,1037.7,,,1542.5,,
56.9,,,98,,,195.8,,,302,,,509.9,,,1036.4,,,1535.1,,
56,,,97.5,,,195.9,,,305.2,,,515.7,,,1041.4,,,1540.9,,
57.2,,,97,,,195.9,,,301.9,,,507.7,,,1041.4,,,1546.4,,
58.5,,,97.5,,,192.9,,,301.6,,,528.8,,,1045.2,,,1557,,
56.5,,,100,,,198.8,,,303.3,,,515.8,,,1032.4,,,1540.5,,
52.8,,,95.4,,,199.6,,,306,,,520.9,,,1039.9,,,1528.8,,
55.2,,,93.6,,,194.8,,,299.2,,,503.6,,,1043.3,,,1545.7,,
52.3,,,95.4,,,196.8,,,304.5,,,509.6,,,1040.2,,,1547,,
55.6,,,99,,,201.9,,,304.9,,,514.1,,,1042.3,,,1547.5,,
57.9,,,102.4,,,201.2,,,303.7,,,531.2,,,1073.1,,,1538.1,,
50.8,,,97.4,,,199.3,,,304.5,,,511.4,,,1102.2,,,1547.2,,
51.1,,,97.2,,,198.5,,,300.6,,,516,,,1045,,,1543.3,,
53.1,,,96.3,,,199.7,,,302.8,,,525.3,,,1043.3,,,1541.5,,
49.3,,,98.8,,,197.6,,,305.1,,,524.4,,,1042.3,,,1539.4,,
