x1,y1,val_x1,val_y1,x1_kalman,y1_kalman,x2,y2,val_x2,val_y2,x2_kalman,y2_kalman,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2,sai_lech_kalman_x1y1,sai_lech_kalman_x1y2
0.99,4.98,,,1.01,5.09,2.19,10.22,,,2.18,10.26,0.02,0.29,0.090553851,0.316227766
1,4.97,,,1.01,5.09,2.16,10.35,,,2.17,10.26,0.03,0.38,0.090553851,0.310644491
0.99,5.18,,,1.01,5.09,2.28,10.36,,,2.18,10.26,0.18,0.46,0.090553851,0.316227766
0.96,5.19,,,1.01,5.09,2.24,10.16,,,2.18,10.26,0.2,0.29,0.090553851,0.316227766
0.89,4.99,,,1.01,5.09,2.09,10.35,,,2.18,10.26,0.11,0.36,0.090553851,0.316227766
0.89,5.06,,,1,5.09,2.12,10.22,,,2.18,10.26,0.12,0.25,0.09,0.316227766
0.97,5.24,,,1,5.09,2.13,10.29,,,2.17,10.26,0.24,0.32,0.09,0.310644491
1.01,5.06,,,1,5.09,2.27,10.37,,,2.18,10.27,0.06,0.46,0.09,0.324499615
1.06,5.08,,,1,5.09,2.24,10.31,,,2.18,10.27,0.1,0.4,0.09,0.324499615
0.97,4.99,,,1,5.09,2.19,10.25,,,2.18,10.27,0.03,0.32,0.09,0.324499615
0.92,5.13,,,1,5.09,2.1,10.33,,,2.18,10.27,0.15,0.35,0.09,0.324499615
0.94,5.2,,,1,5.09,2.15,10.13,,,2.18,10.26,0.2,0.2,0.09,0.316227766
1.06,4.93,,,1,5.09,2.07,10.14,,,2.17,10.26,0.09,0.16,0.09,0.310644491
1.08,5.03,,,1,5.09,2.13,10.34,,,2.17,10.26,0.08,0.36,0.09,0.310644491
0.97,5.03,,,1,5.09,2.17,10.21,,,2.17,10.26,0.04,0.27,0.09,0.310644491
0.96,5.09,,,1,5.09,2.27,10.21,,,2.17,10.26,0.1,0.34,0.09,0.310644491
1.08,5.03,,,1,5.08,2.08,10.19,,,2.17,10.26,0.08,0.21,0.08,0.310644491
1.07,4.96,,,1,5.08,2.1,10.35,,,2.17,10.26,0.08,0.36,0.08,0.310644491
0.96,5.14,,,1,5.08,2.09,10.36,,,2.17,10.26,0.15,0.37,0.08,0.310644491
0.91,4.96,,,1,5.08,2.12,10.13,,,2.17,10.26,0.1,0.18,0.08,0.310644491
1,5.17,,,1,5.08,2.11,10.28,,,2.17,10.26,0.17,0.3,0.08,0.310644491
1.07,4.94,,,1,5.08,2.18,10.3,,,2.17,10.26,0.09,0.35,0.08,0.310644491
1.11,5.01,,,1,5.08,2.11,10.14,,,2.17,10.26,0.11,0.18,0.08,0.310644491
1.08,5,,,1.01,5.08,2.12,10.24,,,2.17,10.26,0.08,0.26,0.080622577,0.310644491
1.11,5.06,,,1.01,5.08,2.23,10.33,,,2.17,10.26,0.13,0.4,0.080622577,0.310644491
1.12,5.1,,,1.01,5.08,2.15,10.27,,,2.17,10.26,0.15,0.31,0.080622577,0.310644491
0.92,4.95,,,1.01,5.08,2.12,10.29,,,2.17,10.26,0.09,0.31,0.080622577,0.310644491
0.96,5.17,,,1.01,5.08,2.1,10.29,,,2.17,10.26,0.17,0.3,0.080622577,0.310644491
1.12,5.15,,,1.01,5.08,2.18,10.25,,,2.17,10.26,0.19,0.3,0.080622577,0.310644491
0.95,4.94,,,1.01,5.08,2.07,10.34,,,2.17,10.26,0.08,0.34,0.080622577,0.310644491
0.97,5.05,,,1.01,5.08,2.1,10.26,,,2.17,10.26,0.05,0.28,0.080622577,0.310644491
0.89,5.24,,,1.01,5.08,2.13,10.21,,,2.17,10.26,0.26,0.25,0.080622577,0.310644491
0.91,5,,,1,5.08,2.24,10.13,,,2.17,10.26,0.09,0.28,0.08,0.310644491
1,5.2,,,1,5.08,2.28,10.13,,,2.17,10.26,0.2,0.31,0.08,0.310644491
0.99,5.01,,,1,5.08,2.22,10.19,,,2.17,10.26,0.01,0.29,0.08,0.310644491
1.07,5.05,,,1,5.08,2.23,10.32,,,2.17,10.26,0.09,0.39,0.08,0.310644491
1.03,4.96,,,1.01,5.08,2.14,10.23,,,2.17,10.26,0.05,0.26,0.080622577,0.310644491
0.89,4.94,,,1,5.08,2.1,10.28,,,2.17,10.26,0.12,0.3,0.08,0.310644491
0.92,4.93,,,1,5.08,2.19,10.18,,,2.17,10.26,0.11,0.26,0.08,0.310644491
1.04,4.98,,,1,5.08,2.23,10.19,,,2.17,10.26,0.05,0.3,0.08,0.310644491
0.94,5.18,,,1,5.08,2.08,10.34,,,2.17,10.26,0.19,0.35,0.08,0.310644491
0.97,4.99,,,1,5.08,2.25,10.32,,,2.17,10.26,0.03,0.4,0.08,0.310644491
0.91,5.11,,,1,5.08,2.22,10.27,,,2.17,10.26,0.14,0.35,0.08,0.310644491
1.04,5.18,,,1,5.08,2.15,10.33,,,2.17,10.26,0.18,0.36,0.08,0.310644491
0.98,5.14,,,1,5.08,2.28,10.15,,,2.17,10.26,0.14,0.31,0.08,0.310644491
1.1,4.97,,,1,5.08,2.07,10.23,,,2.17,10.26,0.11,0.24,0.08,0.310644491
0.98,4.98,,,1,5.08,2.15,10.13,,,2.17,10.26,0.03,0.2,0.08,0.310644491
0.95,4.99,,,1,5.08,2.12,10.32,,,2.17,10.26,0.05,0.34,0.08,0.310644491
1.02,4.95,,,1,5.08,2.17,10.24,,,2.17,10.26,0.06,0.3,0.08,0.310644491
1.02,5.15,,,1,5.08,2.09,10.22,,,2.17,10.26,0.15,0.24,0.08,0.310644491
1.09,5.19,,,1,5.08,2.28,10.32,,,2.17,10.26,0.21,0.42,0.08,0.310644491
1.12,4.95,,,1,5.08,2.1,10.3,,,2.17,10.26,0.13,0.32,0.08,0.310644491
1.05,5.01,,,1,5.08,2.24,10.18,,,2.17,10.26,0.05,0.3,0.08,0.310644491
0.95,5.11,,,1,5.08,2.08,10.13,,,2.17,10.26,0.12,0.15,0.08,0.310644491
1.07,4.94,,,1,5.08,2.22,10.37,,,2.17,10.26,0.09,0.43,0.08,0.310644491
0.96,5.17,,,1,5.08,2.1,10.24,,,2.17,10.26,0.18,0.26,0.08,0.310644491
0.99,5.23,,,1,5.08,2.27,10.33,,,2.17,10.26,0.23,0.42,0.08,0.310644491
0.97,5.23,,,1,5.08,2.07,10.13,,,2.17,10.26,0.23,0.15,0.08,0.310644491
0.88,5.21,,,1,5.08,2.12,10.29,,,2.17,10.26,0.24,0.32,0.08,0.310644491
1.06,5.05,,,1,5.08,2.13,10.24,,,2.17,10.26,0.08,0.28,0.08,0.310644491
0.99,5.03,,,1,5.08,2.16,10.2,,,2.17,10.26,0.03,0.25,0.08,0.310644491
1.09,5.02,,,1,5.08,2.24,10.26,,,2.17,10.26,0.09,0.35,0.08,0.310644491
1.1,4.95,,,1,5.08,2.16,10.17,,,2.17,10.26,0.11,0.23,0.08,0.310644491
0.91,5.11,,,1,5.08,2.17,10.24,,,2.17,10.26,0.14,0.29,0.08,0.310644491
0.95,5.19,,,1,5.08,2.12,10.27,,,2.17,10.26,0.2,0.29,0.08,0.310644491
1.1,5.21,,,1,5.08,2.08,10.3,,,2.17,10.26,0.24,0.31,0.08,0.310644491
0.94,4.99,,,1,5.08,2.19,10.31,,,2.17,10.26,0.06,0.37,0.08,0.310644491
1.07,5.09,,,1,5.08,2.27,10.21,,,2.17,10.26,0.12,0.34,0.08,0.310644491
1.08,5.21,,,1,5.08,2.27,10.27,,,2.17,10.26,0.22,0.38,0.08,0.310644491
1.06,5.04,,,1.01,5.08,2.18,10.28,,,2.17,10.26,0.08,0.33,0.080622577,0.310644491
1.06,5.1,,,1.01,5.08,2.18,10.18,,,2.17,10.26,0.12,0.25,0.080622577,0.310644491
1.09,5.15,,,1.01,5.08,2.25,10.21,,,2.17,10.26,0.18,0.32,0.080622577,0.310644491
