d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
237.2,,,888,,,1105.3,,,1205.9,,,,,,,53.4,
282.6,,,862.6,,,1142.2,,,1185.6,,,,,,,50.6,
251.6,,,847.5,,,1111.4,,,1176.3,,,,,,,56.7,
286.3,,,885.8,,,1152.1,,,1185.1,,,,,,,52.9,
288.8,,,849.4,,,1116.3,,,1179.5,,,,,,,53.4,
290.6,,,862.6,,,1113.7,,,1191.7,,,,,,,49.9,
248,,,859.9,,,1082.9,,,1177.1,,,,,,,52.4,
308.9,,,841.6,,,1115.1,,,1193.3,,,,,,,55.3,
273.6,,,881.2,,,1150.8,,,1140.1,,,,,,,56.3,
276.7,,,867.4,,,1139.7,,,1163.6,,,,,,,53.3,
287.5,,,872.7,,,1119,,,1160.8,,,,,,,55.3,
256.6,,,831.2,,,1092.1,,,1185.6,,,,,,,55.5,
266.9,,,849.8,,,1151.5,,,1176.3,,,,,,,51,
280.4,,,867.8,,,1149.4,,,1191,,,,,,,53.1,
259.8,,,825,,,1181.3,,,1154.4,,,,,,,54.5,
274.3,,,887.7,,,1107.4,,,1153.1,,,,,,,50.6,
269.2,,,856.3,,,1134.1,,,1158.2,,,,,,,51,
285.3,,,851.3,,,1136.4,,,1149.6,,,,,,,52.7,
306,,,862.3,,,1113.5,,,1148.8,,,,,,,51.8,
288.4,,,840.1,,,1088.4,,,1124.2,,,,,,,52.6,
272.8,,,879.4,,,1091.1,,,1150.1,,,,,,,53.3,
284.3,,,887.2,,,1098.8,,,1177.1,,,,,,,53.1,
275.5,,,881.1,,,1162.3,,,1173.6,,,,,,,55.2,
293.3,,,843.9,,,1119.9,,,1182.6,,,,,,,51.9,
242.4,,,878.6,,,1149.3,,,1163.2,,,,,,,53.2,
217.4,,,865.8,,,1116.9,,,1151.4,,,,,,,49,
317,,,882.2,,,1149.9,,,1180.9,,,,,,,48.7,
242.4,,,877,,,1130.2,,,1127.7,,,,,,,52.2,
252.5,,,862.9,,,1128.9,,,1173.2,,,,,,,58.5,
293.8,,,871.1,,,1080.7,,,1175.8,,,,,,,51.4,
279.7,,,877.7,,,1114.8,,,1199.6,,,,,,,52.6,
268.6,,,860.4,,,1113.8,,,1163.5,,,,,,,60.3,
258.8,,,848,,,1108.5,,,1168.5,,,,,,,52.1,
231.4,,,852.8,,,1127,,,1170.2,,,,,,,50.2,
257.7,,,865.8,,,1123.5,,,1137.3,,,,,,,54.6,
273.3,,,857.8,,,1154.1,,,1139.7,,,,,,,52.1,
262.9,,,853.4,,,1150.2,,,1132.4,,,,,,,60.6,
269.5,,,875.6,,,1073.1,,,1163.2,,,,,,,55.1,
228.2,,,835.9,,,1145.6,,,1162.5,,,,,,,57.2,
273.7,,,850.6,,,1136.9,,,1141.7,,,,,,,50,
282.1,,,868.6,,,1105,,,1123,,,,,,,48.1,
271.4,,,852.4,,,1080,,,1177.7,,,,,,,57.4,
245.2,,,831.4,,,1130.5,,,1186.4,,,,,,,51.7,
257.3,,,857.9,,,1130.2,,,1133.6,,,,,,,50.5,
275.5,,,836.7,,,1133.2,,,1195.7,,,,,,,56.6,
268.6,,,831.5,,,1128.8,,,1142.7,,,,,,,57.8,
281.1,,,863.8,,,1127.1,,,1180,,,,,,,52.2,
282.8,,,827.2,,,1149.2,,,1160.2,,,,,,,57.8,
234.1,,,819.4,,,1106.5,,,1151.2,,,,,,,58.5,
228.2,,,831.9,,,1136.8,,,1158.6,,,,,,,53.2,
211.3,,,869,,,1112.6,,,1135.3,,,,,,,55.7,
262.7,,,926.8,,,1114.1,,,1187.5,,,,,,,50.8,
277.7,,,945.9,,,1135.8,,,1159.6,,,,,,,60.7,
256.7,,,990.1,,,1155.4,,,1146.1,,,,,,,57.3,
297,,,915.4,,,1074.4,,,1160.4,,,,,,,56.3,
262,,,830.4,,,1103.3,,,1147.9,,,,,,,55.9,
256.5,,,862.6,,,1077,,,1163.1,,,,,,,50.3,
217.7,,,849.1,,,1135.3,,,1167.2,,,,,,,56.7,
274.9,,,899.5,,,1136.3,,,1157,,,,,,,49.6,
263,,,883.4,,,1131.1,,,1144.8,,,,,,,51.5,
307.8,,,754.8,,,1094.6,,,1133.4,,,,,,,51.4,
253.8,,,643.3,,,1094.4,,,1120.7,,,,,,,54.6,
310.9,,,815.6,,,1085.3,,,1164.1,,,,,,,54.4,
251.8,,,835.8,,,1096.7,,,1165.5,,,,,,,58.7,
240.3,,,856.1,,,1153.1,,,1176.2,,,,,,,54.2,
315,,,864.5,,,1115.7,,,1132.9,,,,,,,50.9,
288.3,,,921.7,,,1061.6,,,1136.2,,,,,,,51.2,
321.3,,,920.9,,,1078.7,,,1128.7,,,,,,,47.4,
262.5,,,885,,,1100.8,,,1150.2,,,,,,,51.9,
286.3,,,894.2,,,1083.5,,,1191.1,,,,,,,51.4,
221.7,,,844.3,,,1088.9,,,1131,,,,,,,51.5,
232.5,,,897,,,1126.3,,,1157.2,,,,,,,55,
197.6,,,953,,,1094.1,,,1179.8,,,,,,,50.2,
236.1,,,916.4,,,860.5,,,1183.1,,,,,,,55.6,
245.8,,,870.3,,,1141,,,1112.1,,,,,,,56.1,
265.9,,,870.6,,,1183.3,,,1152.9,,,,,,,51.5,
