NLoS,d_real(cm),d_mea(cm),NLoS,d_real(cm),d_mea(cm),LoS,LoS,LoS
114.3,,,549.1,,,94.6,510.2,512.1
109.9,,,543.2,,,93.3,520.6,509
112.4,,,543.7,,,94.2,519.3,519
109,,,540,,,95.9,519,515.6
111.4,,,534.7,,,96.9,514.1,511.5
113.4,,,542.3,,,93.1,519.9,511.7
111.5,,,530.1,,,95,519.9,512.9
110.2,,,523.3,,,97.9,510.1,515.5
108.5,,,533.8,,,95.6,513.8,514.3
108,,,528.8,,,93.8,516,516.4
114.4,,,538.6,,,90.6,509.6,512.3
106.3,,,541.4,,,93.8,519.7,512.6
110.4,,,544.7,,,92.3,519.1,512.7
107.2,,,550.4,,,96.1,519.4,515.1
109.4,,,542.3,,,95.2,515.4,517.1
106,,,540.4,,,93.1,512.1,511.6
106.8,,,549.2,,,98.5,519.5,514.4
105.9,,,548.7,,,92.9,513,519.9
106.1,,,530.3,,,90,515,508.3
105.5,,,535.3,,,96.5,518,515.8
107.6,,,543.7,,,94.6,516.4,511.1
112.4,,,543.8,,,94.7,522.9,522.9
109.8,,,542.1,,,94.6,519.6,509.6
109.9,,,540.2,,,96.2,512.9,510.5
112.6,,,538.6,,,93.1,518.5,521.3
110.2,,,540.8,,,92.7,522.2,511.1
113.5,,,545.3,,,95.9,513,513.6
112.6,,,530.7,,,95.8,517,517.9
113.7,,,530,,,94.2,517,514.6
115.9,,,531.3,,,93.8,523.7,510
120.1,,,522,,,98.3,519,509.9
118.4,,,528.2,,,93.4,525.7,505.7
120.6,,,514.7,,,95,508.7,509.8
121.3,,,530.3,,,96.2,515.6,507.2
123.4,,,529,,,98.1,514.7,511.1
126.7,,,528.2,,,95.6,514.3,510.8
131.7,,,526.3,,,95.4,517.9,516.1
129.9,,,526.9,,,96,519.1,505.2
124.6,,,527.7,,,92.8,517.9,510.3
120.9,,,534.1,,,98.2,515.9,509.1
116.1,,,534.1,,,95.1,517.1,511.3
118.6,,,537.1,,,93.9,518.3,517
122.8,,,542.8,,,94.7,523.5,516.6
117.1,,,546.8,,,97.8,523.8,513.9
123.2,,,546.8,,,96.2,513,513.6
114.5,,,548.4,,,97.3,519,514.5
123,,,542.1,,,97.2,527.3,518
117.2,,,542.8,,,93.1,516.5,509.4
112.2,,,545.4,,,95.5,517.4,505.1
121,,,550.7,,,94.8,513.7,505.5
116.8,,,542.1,,,97,513.3,511.6
125.1,,,542.1,,,94.4,508.2,513.1
119.5,,,546,,,93.1,517.9,513.7
114.6,,,544.1,,,94.9,517.5,517.8
123,,,545.6,,,95.2,514.1,505.9
122.1,,,545.6,,,94.5,510.3,510.9
116.5,,,547.7,,,92.9,516.5,515.9
118.4,,,547.1,,,96,520.3,512.8
116.5,,,542.3,,,93.3,519.3,517.6
125.8,,,547.5,,,92,510.5,512.4
121.7,,,546.6,,,92.9,521.7,513.4
118.3,,,545.1,,,96.4,521,515.9
117,,,542.4,,,94.3,513.6,513
118.4,,,541.1,,,92.2,515,511.9
122,,,535.5,,,88.1,514.8,515.2
114.8,,,541,,,95.5,517.7,507.6
117.8,,,538.4,,,95.9,519.4,515.6
116.1,,,543.8,,,90.4,515.4,511.3
107.9,,,544.5,,,95.3,513.3,513.1
114.5,,,537.3,,,96.8,517.1,510.6
114,,,534.3,,,97,520.2,513.7
119.2,,,533,,,95.7,516.5,515.7
110.8,,,535.8,,,95.1,519.9,513
114.3,,,535.9,,,97.6,514.5,517.4
114.7,,,534.9,,,95,514.9,520
111.2,,,542.4,,,98.1,517.6,512.7
