x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,,x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2
98,512.1616252,,,225.6629335,1018.319305,,,,0.98,5.12,,,2.26,10.18,,,0.12,0.32
106.2,493.5851897,,,222.6545671,1036.641664,,,,1.06,4.94,,,2.23,10.37,,,0.09,0.43
105.3,509.4176435,,,224.4083012,1023.718364,,,,1.05,5.09,,,2.24,10.24,,,0.11,0.34
89.8,493.8700014,,,208.6523725,1014.244668,,,,0.90,4.94,,,2.09,10.14,,,0.12,0.17
101.1,504.0535611,,,222.8719827,1021.006458,,,,1.01,5.04,,,2.23,10.21,,,0.04,0.31
88.8,509.6392199,,,207.5833874,1037.598886,,,,0.89,5.10,,,2.08,10.38,,,0.15,0.38
89.7,517.4158661,,,225.6635108,1029.163371,,,,0.90,5.17,,,2.26,10.29,,,0.20,0.39
94,516.9657419,,,211.9260568,1031.130556,,,,0.94,5.17,,,2.12,10.31,,,0.18,0.33
102.8,500.6595551,,,213.7840633,1018.101985,,,,1.03,5.01,,,2.14,10.18,,,0.03,0.23
95.4,505.2054057,,,222.4880264,1037.506938,,,,0.95,5.05,,,2.22,10.38,,,0.07,0.44
112.2,493.4175154,,,211.9920739,1014.90061,,,,1.12,4.93,,,2.12,10.15,,,0.14,0.19
105.1,509.9910557,,,217.055856,1028.57124,,,,1.05,5.10,,,2.17,10.29,,,0.11,0.33
100.3,519.6421479,,,220.2628177,1027.064631,,,,1.00,5.20,,,2.20,10.27,,,0.20,0.34
105.7,500.9748076,,,217.3833734,1012.655391,,,,1.06,5.01,,,2.17,10.13,,,0.06,0.22
104.8,515.7779928,,,214.2152507,1035.764204,,,,1.05,5.16,,,2.14,10.36,,,0.16,0.38
111.5,521.9828438,,,222.8844722,1025.367394,,,,1.12,5.22,,,2.23,10.25,,,0.25,0.34
97.4,498.6184314,,,227.9415168,1014.404108,,,,0.97,4.99,,,2.28,10.14,,,0.03,0.31
96.2,509.5053183,,,220.2244639,1028.12308,,,,0.96,5.10,,,2.20,10.28,,,0.10,0.35
110.2,522.0182664,,,214.3045402,1014.725575,,,,1.10,5.22,,,2.14,10.15,,,0.24,0.21
104.7,522.40574,,,206.4656433,1030.150477,,,,1.05,5.22,,,2.06,10.30,,,0.23,0.31
92,511.419796,,,208.951737,1027.060802,,,,0.92,5.11,,,2.09,10.27,,,0.14,0.29
108.5,519.6517111,,,211.5079391,1028.654081,,,,1.09,5.20,,,2.12,10.29,,,0.21,0.31
110.7,519.4846954,,,208.6277593,1018.215505,,,,1.11,5.19,,,2.09,10.18,,,0.22,0.20
105.9,504.3561915,,,226.3408473,1036.554047,,,,1.06,5.04,,,2.26,10.37,,,0.07,0.45
91.2,511.5347381,,,218.3704896,1027.659341,,,,0.91,5.12,,,2.18,10.28,,,0.15,0.33
101.7,516.9813118,,,206.4572273,1020.623957,,,,1.02,5.17,,,2.06,10.21,,,0.17,0.22
108.4,505.3375423,,,216.5677029,1026.864181,,,,1.08,5.05,,,2.17,10.27,,,0.10,0.32
110.4,498.6194394,,,207.5953423,1016.020123,,,,1.10,4.99,,,2.08,10.16,,,0.10,0.18
95.7,520.3928049,,,222.352716,1014.234875,,,,0.96,5.20,,,2.22,10.14,,,0.21,0.27
106.8,523.5033754,,,221.3157859,1036.425597,,,,1.07,5.24,,,2.21,10.36,,,0.24,0.42
89.2,496.8966814,,,226.8747694,1020.415164,,,,0.89,4.97,,,2.27,10.20,,,0.11,0.34
94,501.4847743,,,208.4697787,1030.591127,,,,0.94,5.01,,,2.08,10.31,,,0.06,0.32
98.5,498.3792178,,,219.2210853,1022.340283,,,,0.99,4.98,,,2.19,10.22,,,0.02,0.29
100.1,497.1520812,,,215.5527469,1035.132886,,,,1.00,4.97,,,2.16,10.35,,,0.03,0.38
99,518.0025294,,,228.1635216,1035.998415,,,,0.99,5.18,,,2.28,10.36,,,0.18,0.46
96,519.4824418,,,224.4749651,1016.043826,,,,0.96,5.19,,,2.24,10.16,,,0.20,0.29
89.2,499.2485839,,,209.0677089,1035.082095,,,,0.89,4.99,,,2.09,10.35,,,0.11,0.36
89.4,505.9116638,,,211.9424234,1021.73666,,,,0.89,5.06,,,2.12,10.22,,,0.12,0.25
97,523.9044269,,,213.4879559,1029.490691,,,,0.97,5.24,,,2.13,10.29,,,0.24,0.32
100.5,505.8981598,,,226.7890965,1037.046191,,,,1.01,5.06,,,2.27,10.37,,,0.06,0.46
105.8,507.6733574,,,224.3719691,1031.236427,,,,1.06,5.08,,,2.24,10.31,,,0.10,0.40
96.7,498.8730373,,,219.3293641,1025.481669,,,,0.97,4.99,,,2.19,10.25,,,0.03,0.32
92.3,512.7272368,,,210.409857,1032.983182,,,,0.92,5.13,,,2.10,10.33,,,0.15,0.35
94.3,519.5557496,,,214.8324212,1013.3871,,,,0.94,5.20,,,2.15,10.13,,,0.20,0.20
105.9,493.0240203,,,207.010747,1014.45337,,,,1.06,4.93,,,2.07,10.14,,,0.09,0.16
107.7,503.2470391,,,212.7758816,1034.073464,,,,1.08,5.03,,,2.13,10.34,,,0.08,0.36
97.3,503.1360457,,,216.9181911,1021.330069,,,,0.97,5.03,,,2.17,10.21,,,0.04,0.27
96.1,509.0744072,,,227.1845721,1020.994695,,,,0.96,5.09,,,2.27,10.21,,,0.10,0.34
107.7,502.6009624,,,208.4594092,1019.394572,,,,1.08,5.03,,,2.08,10.19,,,0.08,0.21
107.4,496.3595515,,,210.3788764,1034.945454,,,,1.07,4.96,,,2.10,10.35,,,0.08,0.36
