d_mea1,d_mea2,d_mea3,d_mea4,d_mea5,d_mea6,d_mea7,,,,,,,
56.1,98.3,197.4,302,511.9,1041.5,1540.5,,,,,,,
57.8,93.4,197.8,306.3,520.9,1044.3,1552.3,,,,,,,
53.1,95,197.7,302.3,510.5,1041.2,1544.7,,,,,,,
53.9,96.2,197.3,305.7,516.7,1039.1,1544.2,,,,,,,
57.8,98.1,196.5,301.6,523.4,1044.3,1544.4,,,,,,,
52.8,95.6,193.6,303.3,521,1037.1,1546.1,,,,,,,
53.6,95.4,197,300.2,509.3,1040.7,1541,,,,,,,
56.7,96,198.5,302.9,510.7,1046.2,1542.6,,,,,,,
51.2,92.8,195.2,304,513.3,1040.7,1539.5,,,,,,,
50.3,98.2,199,304.6,512.1,1048.5,1541.6,,,,,,,
55.4,95.1,198.2,304.4,511.2,1033.8,1546.5,,,,,,,
57.7,93.9,196.6,300.6,512.3,1039.4,1540.3,,,,,,,
55.8,94.7,200.8,303.5,519.3,1043.7,1542.9,,,,,,,
53.9,97.8,200.5,306.6,515.5,1039.1,1545.6,,,,,,,
